onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
2.624	0.0	657	left_click	ignored_correct	n/a	0	0	255
3.6456959077	1257.3	912	show_cross	fixate	+	1	5	nonWM
8.8928748903	305.7	2224	show_letter	to_remember	J	1	5	J
10.3335691197	305.95	2584	show_letter	to_remember	S	1	5	S
11.7753633447	305.975	2945	show_letter	to_remember	Y	1	5	Y
13.2171575697	305.95	3305	show_letter	to_ignore	T	1	5	gT
14.6579517986	305.95	3665	show_letter	to_ignore	P	1	5	gP
16.0997460236	305.95	4026	show_letter	to_remember	F	1	5	F
17.5415402486	305.95	4386	show_letter	to_ignore	M	1	5	gM
18.9832344739	305.7	4747	show_letter	to_remember	K	1	5	K
20.4240287029	536.425	5107	show_dash	work_memory	-	1	5	WM
22.7877192353	305.95	5698	show_letter	probe_not_shown	V	1	5	rV
25.9813064435	0.0	6496	left_click	ignored_correct	n/a	1	5	255
26.3814048409	0.0	6596	sound_beep	feedback_correct	n/a	1	5	correct
37.4507605032	0.0	9364	right_click	indicate_ready	n/a	1	5	1
37.4713604207	1257.1	9369	show_cross	fixate	+	2	7	nonWM
42.7175394074	305.975	10680	show_letter	to_ignore	J	2	7	gJ
44.1583336364	305.975	11041	show_letter	to_remember	T	2	7	T
45.6001278613	305.95	11401	show_letter	to_remember	V	2	7	V
47.0419220863	305.95	11761	show_letter	to_remember	D	2	7	D
48.4837163113	305.7	12122	show_letter	to_remember	X	2	7	X
49.9245105403	305.95	12482	show_letter	to_remember	G	2	7	G
51.3662047656	306.0	12843	show_letter	to_remember	N	2	7	N
52.8080989902	305.925	13203	show_letter	to_remember	R	2	7	R
54.2497932156	850.625	13563	show_dash	work_memory	-	2	7	WM
57.8702787139	305.7	14469	show_letter	probe_target	R	2	7	rR
59.1503735865	0.0	14789	right_click	remembered_correct	n/a	2	7	1
59.550471984	0.0	14889	sound_beep	feedback_correct	n/a	2	7	correct
69.4860321876	0.0	17373	right_click	indicate_ready	n/a	2	7	1
69.5194320538	1257.05	17381	show_cross	fixate	+	3	5	nonWM
74.7656110405	305.95	18692	show_letter	to_remember	L	3	5	L
76.2074052655	305.7	19053	show_letter	to_remember	F	3	5	F
77.6481994945	305.95	19413	show_letter	to_ignore	M	3	5	gM
79.0899937194	305.95	19773	show_letter	to_ignore	J	3	5	gJ
80.5317879444	305.925	20134	show_letter	to_remember	K	3	5	K
81.9734821698	305.7	20494	show_letter	to_ignore	N	3	5	gN
83.4142763987	305.95	20855	show_letter	to_remember	R	3	5	R
84.8560706237	305.95	21215	show_letter	to_remember	H	3	5	H
86.2978648487	879.85	21575	show_dash	work_memory	-	3	5	WM
90.0352498788	314.2	22510	show_letter	probe_not_shown	G	3	5	rG
91.2351450727	0.0	22810	left_click	ignored_correct	n/a	3	5	255
91.64274344	0.0	22912	sound_beep	feedback_correct	n/a	3	5	correct
101.2045051409	0.0	25302	right_click	indicate_ready	n/a	3	5	1
101.2325050287	1257.075	25309	show_cross	fixate	+	4	5	nonWM
106.478784015	305.925	26621	show_letter	to_ignore	C	4	5	gC
107.9204782404	305.7	26981	show_letter	to_ignore	P	4	5	gP
109.3612724694	305.95	27341	show_letter	to_remember	X	4	5	X
110.8030666944	305.95	27702	show_letter	to_ignore	Z	4	5	gZ
112.2448609193	305.95	28062	show_letter	to_remember	T	4	5	T
113.6855551487	305.95	28422	show_letter	to_remember	Y	4	5	Y
115.1273493737	305.95	28783	show_letter	to_remember	J	4	5	J
116.5691435986	305.95	29143	show_letter	to_remember	B	4	5	B
118.0109378236	791.875	29504	show_dash	work_memory	-	4	5	WM
121.3964242632	305.95	30350	show_letter	probe_not_shown	H	4	5	rH
123.1411172749	0.0	30786	left_click	ignored_correct	n/a	4	5	255
123.5412156724	0.0	30886	sound_beep	feedback_correct	n/a	4	5	correct
125.8832062916	0.0	31472	right_click	indicate_ready	n/a	4	5	1
125.9057062015	1257.075	31477	show_cross	fixate	+	5	3	nonWM
131.1518851882	305.95	32789	show_letter	to_ignore	D	5	3	gD
132.5926794172	305.95	33149	show_letter	to_ignore	C	5	3	gC
134.0344736422	305.95	33510	show_letter	to_remember	R	5	3	R
135.4761678675	305.975	33870	show_letter	to_ignore	G	5	3	gG
136.9179620925	305.725	34230	show_letter	to_remember	Z	5	3	Z
138.3587563215	305.95	34591	show_letter	to_ignore	X	5	3	gX
139.8005505464	306.0	34951	show_letter	to_ignore	L	5	3	gL
141.242444771	305.925	35312	show_letter	to_remember	K	5	3	K
142.6841389964	796.125	35672	show_dash	work_memory	-	5	3	WM
146.0865253683	280.725	36523	show_letter	probe_target	K	5	3	rK
147.1866209619	0.0	36798	right_click	remembered_correct	n/a	5	3	1
147.5868193589	0.0	36898	sound_beep	feedback_correct	n/a	5	3	correct
148.6631150479	0.0	37167	right_click	indicate_ready	n/a	5	3	1
148.6842149634	1257.05	37172	show_cross	fixate	+	6	7	nonWM
153.9303939501	305.95	38484	show_letter	to_remember	F	6	7	F
155.3720881754	306.0	38844	show_letter	to_remember	M	6	7	M
156.8138824004	305.975	39204	show_letter	to_remember	B	6	7	B
158.2546766294	305.95	39565	show_letter	to_ignore	N	6	7	gN
