onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
7.572	1257.325	1894	show_cross	fixate	+	1	3	nonWM
12.819182986	305.725	3206	show_letter	to_ignore	Y	1	3	gY
14.2599783142	305.975	3566	show_letter	to_remember	T	1	3	T
15.7017736392	305.95	3926	show_letter	to_ignore	W	1	3	gW
17.1436689638	305.925	4287	show_letter	to_ignore	N	1	3	gN
18.5853642891	305.7	4647	show_letter	to_ignore	J	1	3	gJ
20.0261596173	305.95	5008	show_letter	to_remember	V	1	3	V
21.4679549423	305.95	5368	show_letter	to_remember	Z	1	3	Z
22.9096502676	305.95	5728	show_letter	to_ignore	C	1	3	gC
24.3504455958	942.875	6089	show_dash	work_memory	-	1	3	WM
28.3398326602	305.95	7086	show_letter	probe_not_shown	B	1	3	rB
29.5945285919	0.0	7400	left_click	ignored_correct	n/a	1	3	255
29.9946272946	0.0	7500	sound_beep	feedback_correct	n/a	1	3	correct
30.8865244026	0.0	7723	right_click	indicate_ready	n/a	1	3	1
30.9044243445	1257.325	7727	show_cross	fixate	+	2	5	nonWM
36.1506073338	305.975	9039	show_letter	to_remember	M	2	5	M
37.5924026587	305.95	9399	show_letter	to_remember	R	2	5	R
39.0341979837	305.95	9760	show_letter	to_remember	L	2	5	L
40.4759933087	305.7	10120	show_letter	to_ignore	X	2	5	gX
41.9167886369	305.95	10480	show_letter	to_ignore	G	2	5	gG
43.3584839622	306.0	10841	show_letter	to_remember	W	2	5	W
44.8003792869	305.925	11201	show_letter	to_remember	F	2	5	F
46.2420746122	305.7	11562	show_letter	to_ignore	D	2	5	gD
47.6828699404	548.925	11922	show_dash	work_memory	-	2	5	WM
50.0964621143	247.475	12525	show_letter	probe_target	F	2	5	rF
51.057858997	0.0	12765	right_click	remembered_correct	n/a	2	5	1
51.4579576996	0.0	12865	sound_beep	feedback_correct	n/a	2	5	correct
51.8224565178	0.0	12957	right_click	indicate_ready	n/a	2	5	1
51.8572564049	1257.075	12965	show_cross	fixate	+	3	3	nonWM
57.1034393941	305.95	14277	show_letter	to_ignore	D	3	3	gD
58.5442347224	305.95	14637	show_letter	to_ignore	H	3	3	gH
59.9859300477	305.975	14997	show_letter	to_ignore	G	3	3	gG
61.4277253726	305.95	15358	show_letter	to_remember	C	3	3	C
62.8695206976	305.7	15718	show_letter	to_remember	S	3	3	S
64.3103160258	305.95	16079	show_letter	to_remember	N	3	3	N
65.7521113508	305.975	16439	show_letter	to_ignore	M	3	3	gM
67.1939066758	305.95	16799	show_letter	to_ignore	F	3	3	gF
68.6356020011	930.125	17160	show_dash	work_memory	-	3	3	WM
72.5739892308	289.25	18144	show_letter	probe_target	S	3	3	rS
73.7071855564	0.0	18428	right_click	remembered_correct	n/a	3	3	1
74.1073842588	0.0	18528	sound_beep	feedback_correct	n/a	3	3	correct
80.6681629855	0.0	20168	right_click	indicate_ready	n/a	3	3	1
80.6867629251	1257.05	20173	show_cross	fixate	+	4	5	nonWM
85.9329459144	305.95	21484	show_letter	to_remember	K	4	5	K
87.3747412394	305.95	21845	show_letter	to_ignore	C	4	5	gC
88.8165365643	305.7	22205	show_letter	to_ignore	Z	4	5	gZ
90.2573318925	305.95	22565	show_letter	to_remember	M	4	5	M
91.6990272178	306.0	22926	show_letter	to_remember	L	4	5	L
93.1409225425	305.95	23286	show_letter	to_ignore	F	4	5	gF
94.5826178678	305.7	23647	show_letter	to_remember	G	4	5	G
96.023413196	305.95	24007	show_letter	to_remember	Y	4	5	Y
97.465208521	921.85	24367	show_dash	work_memory	-	4	5	WM
101.3705958578	305.975	25344	show_letter	probe_target	L	4	5	rL
102.6588916805	0.0	25666	right_click	remembered_correct	n/a	4	5	1
103.0589903831	0.0	25766	sound_beep	feedback_correct	n/a	4	5	correct
104.2145866361	0.0	26055	right_click	indicate_ready	n/a	4	5	1
104.2371865628	1257.05	26060	show_cross	fixate	+	5	3	nonWM
109.4833695521	305.95	27372	show_letter	to_ignore	D	5	3	gD
110.925164877	305.7	27732	show_letter	to_ignore	N	5	3	gN
112.3658602056	305.975	28092	show_letter	to_ignore	K	5	3	gK
113.8076555305	306.0	28453	show_letter	to_remember	H	5	3	H
115.2495508552	305.925	28813	show_letter	to_ignore	J	5	3	gJ
116.6912461805	305.675	29174	show_letter	to_remember	C	5	3	C
118.1320415087	305.95	29534	show_letter	to_ignore	B	5	3	gB
119.5738368337	305.95	29894	show_letter	to_remember	M	5	3	M
121.015532159	754.15	30255	show_dash	work_memory	-	5	3	WM
