onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
5.348	1257.05	1338	show_cross	fixate	+	1	7	nonWM
10.5941869918	305.95	2650	show_letter	to_remember	L	1	7	L
12.035883417	305.975	3010	show_letter	to_remember	C	1	7	C
13.4778798415	305.9	3370	show_letter	to_ignore	Z	1	7	gZ
14.919476267	305.7	3731	show_letter	to_remember	M	1	7	M
16.3602726944	305.95	4091	show_letter	to_remember	T	1	7	T
17.8020691194	305.975	4452	show_letter	to_remember	B	1	7	B
19.2438655444	309.95	4812	show_letter	to_remember	G	1	7	G
20.7015619299	305.975	5176	show_letter	to_remember	K	1	7	K
22.1433583549	775.15	5537	show_dash	work_memory	-	1	7	WM
25.4618501265	188.725	6366	show_letter	probe_not_shown	D	1	7	rD
26.1935483122	0.0	6549	left_click	ignored_correct	n/a	1	7	255
26.5936473202	0.0	6649	sound_beep	feedback_correct	n/a	1	7	correct
27.696344586	0.0	6925	right_click	indicate_ready	n/a	1	7	1
27.724544516	1257.3	6932	show_cross	fixate	+	2	5	nonWM
32.9717315053	305.7	8244	show_letter	to_ignore	J	2	5	gJ
34.4125279328	305.95	8604	show_letter	to_remember	Q	2	5	Q
35.8543243578	305.9	8965	show_letter	to_ignore	K	2	5	gK
37.2961207827	305.925	9325	show_letter	to_remember	F	2	5	F
38.737817208	305.7	9685	show_letter	to_remember	Z	2	5	Z
40.1786136354	305.95	10046	show_letter	to_remember	W	2	5	W
41.6204100604	305.95	10406	show_letter	to_ignore	M	2	5	gM
43.0622064854	305.95	10767	show_letter	to_remember	H	2	5	H
44.5029029131	699.9	11127	show_dash	work_memory	-	2	5	WM
47.5204954308	163.5	11881	show_letter	probe_not_shown	B	2	5	rB
48.1549938575	0.0	12040	left_click	ignored_correct	n/a	2	5	255
48.5550928654	0.0	12140	sound_beep	feedback_correct	n/a	2	5	correct
49.6577901312	0.0	12415	right_click	indicate_ready	n/a	2	5	1
49.6831900683	1257.05	12422	show_cross	fixate	+	3	5	nonWM
54.92937706	305.95	13733	show_letter	to_remember	K	3	5	K
56.3710734853	305.725	14094	show_letter	to_ignore	C	3	5	gC
57.8118699127	305.975	14454	show_letter	to_ignore	Z	3	5	gZ
59.2536663377	305.95	14814	show_letter	to_remember	M	3	5	M
60.6954627627	305.7	15175	show_letter	to_remember	L	3	5	L
62.1362591901	305.95	15535	show_letter	to_ignore	F	3	5	gF
63.5780556151	305.95	15896	show_letter	to_remember	G	3	5	G
65.0199520399	305.925	16256	show_letter	to_remember	Y	3	5	Y
66.4615484653	921.875	16616	show_dash	work_memory	-	3	5	WM
70.3669387817	205.225	17593	show_letter	probe_target	L	3	5	rL
71.1709367881	0.0	17794	right_click	remembered_correct	n/a	3	5	1
71.5710357961	0.0	17894	sound_beep	feedback_correct	n/a	3	5	correct
72.251834108	0.0	18064	left_click	indicate_ready	n/a	3	5	255
72.277634044	1257.075	18070	show_cross	fixate	+	4	3	nonWM
77.5239210355	305.95	19382	show_letter	to_ignore	D	4	3	gD
78.9656174607	305.725	19742	show_letter	to_ignore	N	4	3	gN
80.4064138882	305.95	20103	show_letter	to_ignore	K	4	3	gK
81.8482103132	305.95	20463	show_letter	to_remember	H	4	3	H
83.2901067379	305.925	20824	show_letter	to_ignore	J	4	3	gJ
84.7318031631	305.7	21184	show_letter	to_remember	C	4	3	C
86.1725995906	305.95	21544	show_letter	to_ignore	B	4	3	gB
87.6142960158	305.975	21905	show_letter	to_remember	M	4	3	M
89.0560924408	754.15	22265	show_dash	work_memory	-	4	3	WM
92.2905844207	205.475	23074	show_letter	probe_not_shown	S	4	3	rS
93.0791824653	0.0	23271	left_click	ignored_correct	n/a	4	3	255
93.4792814733	0.0	23371	sound_beep	feedback_correct	n/a	4	3	correct
94.3709792622	0.0	23594	right_click	indicate_ready	n/a	4	3	1
94.4032791821	1257.075	23602	show_cross	fixate	+	5	3	nonWM
99.6494661739	305.7	24913	show_letter	to_ignore	S	5	3	gS
101.0902626014	305.95	25274	show_letter	to_ignore	T	5	3	gT
102.5320590264	305.95	25634	show_letter	to_ignore	G	5	3	gG
103.9738554513	305.95	25994	show_letter	to_remember	N	5	3	N
105.4156518763	305.7	26355	show_letter	to_remember	W	5	3	W
106.856348304	305.975	26715	show_letter	to_remember	J	5	3	J
108.298144729	305.975	27076	show_letter	to_ignore	F	5	3	gF
109.739941154	309.95	27436	show_letter	to_ignore	H	5	3	gH
111.1977375393	884.1	27800	show_dash	work_memory	-	5	3	WM
114.9521282301	192.975	28739	show_letter	probe_target	N	5	3	rN
115.6992263776	0.0	28926	right_click	remembered_correct	n/a	5	3	1
116.0993253855	0.0	29026	sound_beep	feedback_correct	n/a	5	3	correct
116.674623959	0.0	29170	left_click	indicate_ready	n/a	5	3	255
116.6959239062	1257.05	29175	show_cross	fixate	+	6	7	nonWM
121.942110898	305.95	30487	show_letter	to_remember	Z	6	7	Z
123.383907323	305.95	30847	show_letter	to_remember	N	6	7	N
124.8256037482	305.7	31207	show_letter	to_remember	K	6	7	K
126.2664001756	305.95	31568	show_letter	to_remember	G	6	7	G
127.7081966006	305.95	31928	show_letter	to_remember	B	6	7	B
129.1499930256	305.95	32288	show_letter	to_remember	M	6	7	M
130.5907894531	305.95	32649	show_letter	to_remember	Y	6	7	Y
132.0324858783	305.95	33009	show_letter	to_ignore	R	6	7	gR
133.4742823033	766.9	33370	show_dash	work_memory	-	6	7	WM
136.7597741567	146.475	34191	show_letter	probe_target	K	6	7	rK
137.3172727744	0.0	34330	right_click	remembered_correct	n/a	6	7	1
137.7173717823	0.0	34430	sound_beep	feedback_correct	n/a	6	7	correct
141.5617622499	0.0	35391	left_click	indicate_ready	n/a	6	7	255
141.5870621872	1257.05	35398	show_cross	fixate	+	7	7	nonWM
146.8332491789	305.95	36709	show_letter	to_remember	F	7	7	F
148.2750456039	305.7	37070	show_letter	to_remember	W	7	7	W
149.7158420314	305.95	37430	show_letter	to_remember	C	7	7	C
151.1575384566	305.975	37790	show_letter	to_ignore	R	7	7	gR
152.5995348811	305.925	38151	show_letter	to_remember	N	7	7	N
154.0411313066	305.7	38511	show_letter	to_remember	Q	7	7	Q
155.481927734	305.95	38871	show_letter	to_remember	H	7	7	H
156.923724159	305.975	39232	show_letter	to_remember	S	7	7	S
158.365520584	993.125	39592	show_dash	work_memory	-	7	7	WM
162.5559101937	301.7	40640	show_letter	probe_not_shown	J	7	7	rJ
163.733407274	0.0	40934	left_click	ignored_correct	n/a	7	7	255
164.1337062814	0.0	41034	sound_beep	feedback_correct	n/a	7	7	correct
165.3415032866	0.0	41336	right_click	indicate_ready	n/a	7	7	1
165.3714032125	1257.05	41344	show_cross	fixate	+	8	7	nonWM
170.6175902042	305.95	42655	show_letter	to_remember	K	8	7	K
172.0593866292	305.95	43016	show_letter	to_ignore	G	8	7	gG
173.501283054	305.925	43376	show_letter	to_remember	D	8	7	D
174.9429794792	305.7	43737	show_letter	to_remember	H	8	7	H
176.3836759069	305.975	44097	show_letter	to_remember	R	8	7	R
177.8254723319	305.975	44457	show_letter	to_remember	T	8	7	T
179.2672687568	305.95	44818	show_letter	to_remember	V	8	7	V
180.7080651843	305.95	45178	show_letter	to_remember	N	8	7	N
182.1498616093	611.9	45538	show_dash	work_memory	-	8	7	WM
184.8154549998	226.2	46205	show_letter	probe_target	D	8	7	rD
185.6939528215	0.0	46424	right_click	remembered_correct	n/a	8	7	1
186.0940518294	0.0	46525	sound_beep	feedback_correct	n/a	8	7	correct
187.5920481151	0.0	46899	left_click	indicate_ready	n/a	8	7	255
187.6139480608	1257.325	46904	show_cross	fixate	+	9	3	nonWM
192.8601350525	305.975	48216	show_letter	to_ignore	Y	9	3	gY
194.3019314775	305.95	48576	show_letter	to_remember	T	9	3	T
195.7437279025	305.95	48937	show_letter	to_ignore	W	9	3	gW
197.1855243275	305.7	49297	show_letter	to_ignore	N	9	3	gN
198.6263207549	305.95	49658	show_letter	to_ignore	J	9	3	gJ
200.0681171799	305.95	50018	show_letter	to_remember	V	9	3	V
201.5099136049	305.95	50378	show_letter	to_remember	Z	9	3	Z
202.9516100301	305.7	50739	show_letter	to_ignore	C	9	3	gC
204.3924064576	942.85	51099	show_dash	work_memory	-	9	3	WM
208.3817965656	188.725	52096	show_letter	probe_not_shown	B	9	3	rB
209.1042947742	0.0	52277	left_click	ignored_correct	n/a	9	3	255
209.5043937821	0.0	52377	sound_beep	feedback_correct	n/a	9	3	correct
210.527991244	0.0	52633	right_click	indicate_ready	n/a	9	3	1
210.561491161	1257.05	52641	show_cross	fixate	+	10	5	nonWM
215.8076781527	305.7	53953	show_letter	to_remember	V	10	5	V
217.2484745802	305.95	54313	show_letter	to_remember	L	10	5	L
218.6902710052	305.95	54674	show_letter	to_remember	S	10	5	S
