onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
5.716	1257.05	1430	show_cross	fixate	+	1	3	nonWM
10.9622210133	305.95	2742	show_letter	to_ignore	D	1	3	gD
12.4039267879	305.725	3102	show_letter	to_ignore	M	1	3	gM
13.844732559	305.95	3462	show_letter	to_ignore	B	1	3	gB
15.286538334	305.95	3823	show_letter	to_remember	Y	1	3	Y
16.728344109	305.95	4183	show_letter	to_ignore	H	1	3	gH
18.1701498841	305.7	4544	show_letter	to_remember	Q	1	3	Q
19.6109556551	305.95	4904	show_letter	to_remember	C	1	3	C
21.0529614309	305.9	5264	show_letter	to_ignore	G	1	3	gG
22.4944672047	842.125	5625	show_dash	work_memory	-	1	3	WM
26.0809815702	305.95	6521	show_letter	probe_target	C	1	3	rC
27.4389870096	0.0	6861	right_click	remembered_correct	n/a	1	3	1
27.8390886122	0.0	6961	sound_beep	feedback_correct	n/a	1	3	correct
30.4180989422	0.0	7606	right_click	indicate_ready	n/a	1	3	1
30.4392990271	1257.075	7611	show_cross	fixate	+	2	7	nonWM
35.6855200404	305.95	8922	show_letter	to_remember	J	2	7	J
37.1274258158	305.925	9283	show_letter	to_remember	C	2	7	C
38.5691315905	305.7	9643	show_letter	to_remember	F	2	7	F
40.0099373615	305.95	10003	show_letter	to_remember	M	2	7	M
41.4517431365	305.95	10364	show_letter	to_ignore	L	2	7	gL
42.8934489112	305.95	10724	show_letter	to_remember	K	2	7	K
44.3342546822	305.95	11085	show_letter	to_remember	Q	2	7	Q
45.7760604572	305.95	11445	show_letter	to_remember	W	2	7	W
47.2178662322	569.925	11805	show_dash	work_memory	-	2	7	WM
49.7154762362	276.475	12430	show_letter	probe_not_shown	B	2	7	rB
50.7969805681	0.0	12700	left_click	ignored_correct	n/a	2	7	255
51.1970821707	0.0	12800	sound_beep	feedback_correct	n/a	2	7	correct
53.4069910223	0.0	13353	right_click	indicate_ready	n/a	2	7	1
53.4359911384	1257.3	13360	show_cross	fixate	+	3	3	nonWM
58.6832121557	305.7	14672	show_letter	to_ignore	D	3	3	gD
60.1239179263	305.975	15032	show_letter	to_remember	Y	3	3	Y
61.5657237014	306.0	15392	show_letter	to_ignore	T	3	3	gT
63.0076294768	305.925	15753	show_letter	to_ignore	J	3	3	gJ
64.4493352514	305.675	16113	show_letter	to_ignore	M	3	3	gM
65.8901410225	305.95	16474	show_letter	to_remember	K	3	3	K
67.3319467975	305.95	16834	show_letter	to_remember	B	3	3	B
68.7736525721	305.7	17194	show_letter	to_ignore	F	3	3	gF
70.2144583432	813.125	17555	show_dash	work_memory	-	3	3	WM
73.684972244	280.725	18422	show_letter	probe_target	B	3	3	rB
74.7876766608	0.0	18698	right_click	remembered_correct	n/a	3	3	1
75.1878782638	0.0	18798	sound_beep	feedback_correct	n/a	3	3	correct
75.9476813071	0.0	18988	left_click	indicate_ready	n/a	3	3	255
75.9805814389	1257.325	18996	show_cross	fixate	+	4	7	nonWM
81.2269024526	305.95	20308	show_letter	to_ignore	C	4	7	gC
82.6686082272	305.975	20668	show_letter	to_remember	Z	4	7	Z
84.1104140022	305.925	21029	show_letter	to_remember	L	4	7	L
85.5522197773	305.7	21389	show_letter	to_remember	K	4	7	K
